KF utilisée  pr S&OP?;Domaine fonctionnel;type de KF;Priorité;"Statut Configuration (TWM)
Open / WIP / On Hold / Done";Mode alimentation;Commentaire;ID;Name;To be rename;Description;Detailed explanation of the KF (EN);Explication detaillée de la KF (FR);Base Planning Level;stored or calculated;Stored Key Figure;Calculated Key Figure;type de chargement;Source de la donnée;Editable Y/N;règle;commentaires;KF snapshoté?;Count
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPHISTOACTQTYVSBUDGET;compare qtés livrées vs budget commercial;Delivered Qty vs Sales Bud. %;compare qtés livrées vs budget commercial;It is the ratio in % of delivered volume versus the commercial budget;Indicateur comparant la quantité livrée par rapport au budget commercial en pourcentage;MTHPRODLOC;calculated;;X;;;Not editable;ZHISTOACTQTY / ZAOPQTY;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPPROCESSHOURS;Nb d'heures process (incompressible);Downtime - compulsory process downtime (in h);Nb d'heures process (incompressible);downtime of the line due to the production process requirement;temps de production non disponible sur la ligne du fait de contraintes process;CALWKRESLOC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPMAINTHOURS;Nb d'heures maintenance;Downtime - line maintenance (in h);Nb d'heures maintenance;downtime of the line due to planned maintenance;temps de production non disponible sur la ligne du fait de la maintenance de ligne;CALWKRESLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPCLEANINGHOURS;Nb d'heures changement de série (incompressible);Downtime - production batch switch (in h);Nb d'heures changement de série (incompressible);downtime of the line due to switch of production batch on the line;temps de production non disponible sur la ligne du fait de changement de série;CALWKRESLOC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPFAMCONSTRAINTHOURS;Nb d'heures d'arrêt famille contrainte;Downtime - production constraint downtime (in h);Nb d'heures d'arrêt famille contrainte;downtime of the line due to end of production constraints on the line;temps de production non disponible sur la ligne du fait de des contraintes de fin de production;CALWKRESLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPRDHOURS;Nb d'heures R&D;Downtime - R&D hours (in h);Nb d'heures R&D;downtime of the line due to R&D line usage requirement for production trials;temps de production non disponible sur la ligne du fait de besoin d'essais R&D;CALWKRESLOC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Open;;;ZSOPDEMANDREVIEWVSPROD;compare Prevision Demand Review et Prevision de production;DR Fcst vs Planned prod;Ecart entre Prevision Demand Review et production ;it compares the Demand Review forecast with the planned production (only useful for products that are made by BRIDOR in our own plants);Comparatif entre la prévision Demand Review et les productions prévues (uniquement valable pour les codes en fabrication sur nos usines);;calculated;;X;;;Not editable;;" Objectif identifier les surplus ou déficit de capa
At request";;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZKPIDYNAMICCOVERAGESFS;Dynamic Stock Coverage - SFS;Dynamic Stock Coverage - SFS_S;Nombre de périodes couvertes par le stock projeté - SFS seulement;dynamic stock coverage calculated at SFS level;couverture de stock dynamique au niveau produit semi-fini;CALWKPRODLOC;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZKPIDYNAMICCOVERAGE;Dynamic Stock Coverage;Dynamic Stock Coverage_S;Nombre de périodes couvertes par le stock projeté;dynamic stock coverage calculated at PF level;couverture de stock dynamique au niveau produit fini;CALWKPRODLOC;;;X;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;;Done;;;ZSOPEFFECTIVSTORAGECAPA;Capacité nominale  les déductions + capacité +/- = capacité stockage;Effective Storage capacity;Capacité nominale  les déductions + capacité +/- = capacité stockage;"This is the actual available total storage capacity. KF that is the result of the nominal storage capacity reduced with all the ""Hold_Space"" key figures and increased/reduced with the temp storage capacity key figures";"Cela correspond à la capacité réelle de stockage. Cette KF est le résultat de la capacité de stockage nominale du site à laquelle on vient déduire les KF ""Hold_Space"" et les KF d'augmentations / réductions temporaire de capacité";WKLOC;calculated;;X;;;N;"capacité nominale - toutes les KF ""hold space"" - temp reduction storage capacity + temp additionnal storage capacity";calculée;;
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;RECEIPT;External Receipts;External Receipts_S;Time-Series-Based Supply Planning Output: Amount received at a location product from an external source of supply. This means that the net demand is satisfied without defining where the corresponding receipts come from.;stock intake from external sources (subcontracting, negoce);réception de stock depuis des sources extérieurs (sous-traitance, négoce);WKPRODLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZSTORAGECAPACITYUSAGE;Location Storage Usage;Filling rate WH %;Location Storage Usage;this will calculate a filling rate for each warehouse location by comparing the location storage usage (projected stock) with the storage capacity of the same location;cela va calculer le taux de remplissage de chaque entrepôt en comparant l'utilisation faite (stock projeté) avec la capacité totale de stockage;CALWKLOC;;;X;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;;Done;;;ZMAINTENANCECAPADISPLAY;Déduction maintenance : arrêt TK / travaux racks;Hold_Space : maintenance / breakdown;Déduction maintenance : arrêt TK / travaux racks;KF to indicate the nb of pallets space (80x120) that can't be used in order to block storage space (80x120) due to maintenance / break down requirements;"KF indiquant le nb d'emplacements, en équivalent palettes 80x120, qui sont immobilisés pour des opérations de maintenance ou panne.  Cette KF vient en déduction de l'espace de stockage nominal pour calculer la capacité de stockage.
Elle est calculée en time series à la maille hebdo.";WKLOC;stored;X;;;;Y;saisie en valeure positive seulement, nombre entier seulement;"à gérer en time series et en masterdata
05.03 TMO - Attribut 'Storage - Maintenance and BreakD.'";;
KF à créer pour S&OP;Supply Review;partagée;;Done;;;ZRDQUALITYDISPLAY;Déduction R&D qualité : stock occupé pour échantillons et blocages;Hold_Space : RD and Quality storage;Déduction R&D qualité : stock occupé pour échantillons et blocages;KF to indicate the nb of pallets space (80x120) that can't be used in order to reduce storage capacity in order to keep aside some empty space (80x120) in order to store R&D and quality samples and other type of products;"KF indiquant le nb d'emplacements, en équivalent palettes 80x120, qui sont utilisés par les palettes R&D et qualité (échantillons, autres types de produits).  Cette KF vient en déduction de l'espace de stockage nominal pour calculer la capacité de stockage.
";WKLOC;stored;X;;;;Y;saisie en valeure positive seulement, nombre entier seulement;"à gérer en time series et en masterdata
05.03 TMO - Attribut 'Storage - RD and Quality'";;
KF à créer pour S&OP;Supply Review;partagée;;Done;;;ZSLAVEPALLETDISPLAY;Déduction esclavage : emplacements bloqués pour esclavage;Hold_Space : slave pallet 100x120;;KF to be used to indicate the nb of pallets space (80x120) that can't be used in order to reduce storage capacity due to usage of slave pallet (100x120) when the the actual pallet quality is not good enough for the storage automation;"KF indiquant le nb d'emplacements, en équivalent palettes 80x120, qui sont utilisés par les palettes 100x120.  Cette KF vient en déduction de l'espace de stockage nominal pour calculer la capacité de stockage.
";WKLOC;stored;X;;;;Y;saisie en valeure positive seulement, nombre entier seulement;"à gérer en time series et en masterdata
05.03 TMO - Attribut 'Storage - Slace Pallets'";;
KF à créer pour S&OP;Supply Review;partagée;;Done;;;ZSPARECAPADISPLAY;Déduction fonctionnement : conserver une marge de sécurité pour le fonctionnement de lentrepôt, on nautorise pas 100% de remplissage;Hold_Space : spare running capacity;Déduction fonctionnement : conserver une marge de sécurité pour le fonctionnement de lentrepôt, on nautorise pas 100% de remplissage;KF to indicate the nb of pallets space (80x120) that can't be used in order to reduce storage capacity in order to keep aside some empty space (80x120) in order to guarantee optimal running functionnality. ;"KF indiquant le nb d'emplacements, en équivalent palettes 80x120, qui ne peuvent être utilisés pour le bon fonctionnement de l'espace de stockage. Cette KF vient en déduction de l'espace de stockage nominal pour calculer la capacité de stockage.
";WKLOC;stored;X;;;;Y;saisie en valeure positive seulement, nombre entier seulement;"à gérer en time series et en masterdata
05.03 TMO - Attribut 'Storage - Spare Running Capa.'";;
KF à créer pour S&OP;Supply Review;partagée;1;Done;manuelle;;ZSOPTONNAGEHOURLINE;Tonnage horaire/ligne;Hourly Tonnage/Line;;Key Figure expressing the average hourly tonnage per production line. Manual entry, periodically reviewed according to product mix.;Key Figure qui exprime le tonnage horaire moyen par ligne de production. Saisie manuelle, révision périodique selon mix produit. ;CALWKRESLOC;stored;X;;manuel;;Editable;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;INVENTORYCORRECTION;Inventory Correction;Inventory Correction_S;Time-Series-Based Supply Planning Input: Quantity added to calculated projected stock. Used to reflect actual stock. Negative value: fictitious supply. Positive value: fictitious receipt.;inventory correction, manual input;correction d'inventaire, saisie manuelle;WKPRODLOC;;X;;;;;;A voir si ça a un impact sur la Baseline?;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;INVENTORYTARGET;Inventory Target;Inventory Target_S;Inventory Target;inventory target, used to simulate our safety stock;stock cible, utilisé poour modéliser nos stocks de sécurité;WKPRODLOC;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;partagée;1;Done;;;LOCATIONRATIO;Location Sourcing Ratio;Location Sourcing Ratio_S;Time-Series-Based Supply Planning Heuristic / Inventory Optimization Input: Ratio for sourcing the net demand for a location product from various locations by means of stock transfers.;ratio that allow to source from the location or not;ratio permettant d'autoriser ou non l'approvisionnement depuis le site concerné ou non;WKPRODLOCLOCFR;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPTONNAGEMISSINGHR;Equivalent tonnage heure manquante;Missing line capacity (in T);;It is the missing capacity per line expressed in equivalent metric tons. The calculation takes into account the average hourly tonnage of the line (Tonnage Hour Line);C'est la capacité manquante par ligne exprimée et equivalent Tonne. Le calcule prend en compte le tonnage horaire moyen de la ligne (Tonnage Hour line);CALWKRESLOC;calculated;;X;;;;heures manquantes X tonnage horaire;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPNBFAMMAX;Nombre de familles à contraintes Max;nb of production end constraints max;Nombre de familles à contraintes Max;max nb of end of production constraints on the line;nb max de familles à contraintes de fin de production sur la ligne;CALWKRESLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;NETDEMAND;Net Supply Requirement;Net Supply Requirement_S;Net Supply Requirement;;;WKPRODLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;On Hold as not used today;;Non utilisé;NONDELIVERYCOSTRATE;Non-Delivery Cost Rate for Customer Demand;Non-Delivery Cost Rate for Customer Demand_S;Time-Series-Based Supply Planning Optimizer Input: Cost rate that applies if the calculated TOTALCONSTRAINEDDEMAND does not meet the CONSENSUSDEMAND. This contains, for example, the lost revenue per unit of product.;non delivery cost rate to be taken into account by IBP in order to run the R&S model;coût de non livraison pris en compte par IBP pour le fonctionnement du modèle R&S;WKPRODCUST;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;1;Done;;;ZSOPSUBPERIODNUM;Number of Subperiods;Number of Subperiods_S;Time-Series-Based Supply Planning Input: Used to split each period in the planning horizon into subperiods.;number of subperiod that we want to materialize in 1 week;nombre de sous-période pour faire 1 semaine;WKPRODLOC;;X;X;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;1;Done;;;ZSOPCAPABIASPCT;% du biais d'ouverture;Opening Hours Bias % H_S;KF specifique à la ligne pour détermienr le % de biais;"KF to be used to decrease total opening hours of the production line from X % of hours due to production BIAS factor
you must run the Heuristic calculation after amending this KF in order to align all output data from heuristic";"KF à utiliser pour venir réduire le temps d'ouverture total de la ligne de production de X % d'heures du fait des biais de production
il faut faire tourner un heuristic après modification de cette KF pour aligner les données de sorties de l'heuristique";WKRESLOC;calculated;X;;;;Editable;;saisie de pourcentage du biais;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;calculée;;ZSOPCAPAUSAGE;Capacité consommée (en h);Opening time - actual usage (in h);Capacité consommée (en h);actual production time requirement on the line. If capacity demand of production resource is less than total available hours with bias, then actual usage is equal to capacity demand of production, otherwise, actual usage = total available opening time with Bias. ;temps de production réellement utilisé sur la ligne. SI la capacity demand of prodcution est inférieure au temps d'ouverture total incluant le biais, alors l'actual usage est égal au besoin de production réel. Sinon, actual usage = total available opening time with bias;CALWKRESLOC;;;X;manuelle;Capacity Planning;Editable;;Est-ce que la modification sur la version S1OP entraine la modification identique sur la version Baseline;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPHOLIDAYHOURS;Nb d'heures jours férié;Opening time - bank holidays (in h);Nb d'heures jours férié;extra oppening time of the line due on bank holidays;temps d'ouverture additionnel grâce aux ouvertures sur jour fériés;CALWKRESLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;calculée;;ZRSCAPADEMANDGAP;Gap  Capacity Demand VS Unconstrained;Opening time - Gap Demand vs Supply (in h);Delta capacité (en h);Gap between the unconstrained demand required opening time and the actual opening time consumed on the line;écart entre le nb d'heures de production requise sur base demande non-contrainte vs le nb d'heures actuelles d'ouverture consommées;CALWKRESLOC;;;X;manuelle;Capacity Planning;Editable;;Est-ce que la modification sur la version S&OP entraine la modification identique sur la version Baseline;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;On Hold;;Utilisation du calendrier IBP;ZSOPMAXCAPA;Capa Heures max hebdo;Opening time - max capacity (in h);capacité d'ouverture maximale par ligne de production;maximum opening capacity per production line;capacité d'ouverture maximale par ligne de production;WKRESLOC;;;X;;;Editable;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;On Hold;;;ZSOPTONNAGEMAXCAPA;Capa Heures max hebdo X tonnage horaire ligne;Opening time - max capacity (in T);capacité d'ouverture maximale par ligne de production x tonnage horaire par ligne;maximum opening capacity per production line x hourly tonnage per line;capacité d'ouverture maximale par ligne de production x tonnage horaire par ligne;WKRESLOC;calculated;;X;;;Editable;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;calculée;;ZSOPCAPASHORTAGE;Capacité manquante (en h);Opening time - Missing line capacity (in h);Capacité manquante (en h);missing production time on the line;temps de production manquant sur la ligne;CALWKRESLOC;;;X;manuelle;Capacity Planning;Editable;;Est-ce que la modification sur la version S1OP entraine la modification identique sur la version Baseline;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPOVERTIMEHOURS;Nb d'heures supplémentaires;Opening time - overtime hours (in h);Nb d'heures supplémentaires;extra oppening time of the line due planned overtime;temps d'ouverture additionnel grâce aux ouvertures d'heures supplémentaires;CALWKRESLOC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;calculée;;ZSOPCAPAREMAINING;Capacité restante (en h);Opening time - Remaining line capacity (in h);Capacité restante (en h);remaining available production time on the line;temps de production restant disponible sur la ligne;CALWKRESLOC;;;X;manuelle;Capacity Planning;Editable;;Est-ce que la modification sur la version S1OP entraine la modification identique sur la version Baseline;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;;;ZSOPPRDLINEOPENING;HO projet d'ouverture;Opening time - simulation (in h);KF dédiée aux HO potentielles liées aux projets d'ouverture de ligne;Key Figure representing potential opening hours related to line opening projects. It must be available for each and every line and it can be either a positive or a negative value depending if we want to add or reduce the opening time;KF permettant de modéliser une ouverture de ligne. Doit permettre de simuler des augmentations ou des réductions d'heure sur la ligne en utilisant soit des nombres positifs ou négatifs;CALWKRESLOC;stored;X;;manuel;saisie;Editable;"viendra impacter en suuplement des HO disponibles
ATTENDRE SEPTEMBRE pour impacter les HO";saisie en % ou en nb d'heures d'ouverture (objectif = simuler des capas de prod supplémentaires à venir);;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;calculée;;ZSOPCAPASUPPLY;Temps d'ouverture (en h);Opening time - total available (in h);Temps d'ouverture (en h);total opening time in hours on the line;temps d'ouverture disponible total de la ligne;CALWKRESLOC;;;X;manuelle;Capacity Planning;Editable;;Est-ce que la modification sur la version S1OP entraine la modification identique sur la version Baseline;;1
KF à créer pour S&OP;Supply Review;partagée;1;Done;;S&OP version;ZSOPCAPABIAS;HO prise en compte du biais;Opening time - total available with Biais (in h);KF dédiée sur les heures d'ouverture pour impact du biais. Expression du % de biais en nb d'heure;this is the final total available opening time, including Bias, that will be used as input for heuristic calculation;c'est le temps d'ouverture final, incluant les heures de biais, qui sera utilisé en donné d'input de l'heuristique;CALWKRESLOC;calculated;;X;;;Editable;viendra impacter en déduction la regle de calcul pour ZCAPSUPPLY;"saisie en % ou en nb d'heures d'ouverture. 
A mettre en place après demarrage R&S";;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPWEEKHOURS;Nb d'heures semaine;Opening time - week (in h);Nb d'heures semaine;opening time during normal weekdays;temps d'ouverture disponible sur les jours ouvrés de la semaine;CALWKRESLOC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;ZSOPCAPWEEKENDHOURS;Nb d'heures weekend;Opening time - weekend (in h);Nb d'heures weekend;extra opening time thanks to weekend shifts;temps d'ouverture additionnel grâce aux ouvertures d'heures équipes weekend;CALWKRESLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;OUTPUTCOEFFICIENT;Output Coefficient;Output Coefficient_S;Time-Series-Based Supply Planning / Inventory Optimization Input: Bill of material: relative quantity of output products of a production source of supply (BOM multiplier = component coefficient / output coefficient).;;;WKPRODLOCSRC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPCONSUMPTZMPZEMB;consommation planifiées ZMP et ZEMB;Planned consumption ZMP_EMB;Historisation des consommations ZMP et ZEMB;Planned consumption of items of type ZMP or ZEMB in the future;consommations planifiées mensuelles d'artciles de type ZMP ou ZEMB;WKPRODLOC;stored;X;;manuel;DIO?;Editable;TOTAL RECEIPTS pour MATTYPEID = ZMP et ZEMB. Conso à la sortie de l'heuristic;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;à créer;à créer;Planned total intake;sum of production receipt and external receipt and capacity restante;somme des production receipt et des external receipt;production planifiée depuis le modèle R&S;WKPRODLOCSRC;;X;X;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;manuel;;ZSOPINDUSBUDGET;Quantité Budget Industriel (input mensuel);Prod_SST Bud;S&OP: Monthly quantity from annual Industrial plan. Can be imported from external system.;This is the BRIDOR plant production budget;C'est le budget de production des usines BRIDOR;WKPRODLOCSOURCE;stored;X;;manuel;;Editable;"désagrégation: 
desagrer pour le produit sur la base du poids de la prévision du produit sur la famille PLT.
Pour la partie source on prendra la Main.";chargé au mois avec une version de prod. Pour charger a un niveau autre que Prod loc source  ;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;ZSOPINDUSBUDGETVSPROD;compare budget industriel vs Production projetée S&OP;Prod_SST Bud vs Planned prod Qty;Ecart entre le budget indus et la quantité de production projetée S&OP;It compares the production budgeted volumes to the projected planned production volumes;c'est la comparaison entre le budget de production prévus avec les productions planifiées;MTHPRODLOC;calculated;;X;;;Not editable;;;;1
KF à créer pour S&OP;Supply Review;;1;On Hold;;"Nbr de jours ouvrés => Utilisation du calendrier IBP
PDR: Prévision Demand Review";ZSOPPRODPERDAYTONNE;production en Tonne / jour ouvré;Production /work. Day;TBD;KPI to bring production volume (in the past or the future) down to working day of the month;KPI qui permet de ramener un volume de production mensuel (dans le passé ou le future) à la maille jour/ouvré;MTHPRODLOC;calculated;;X;;;;"cette KF doit ramener le volume de production mensuel du mois au jour ouvré (si volume total à produire du mois = 20 000t et que 20 jours ouvrés dans le mois, alors on doit voir 1 000t/jour). Dans le passé, on se basera sur la KF ""ZHISTOPRODUCTION"" (à voir si besoin de dupliquer en ZSOP car on aura besoin de l'afficher en version S&OP) et dans le futur ce sera la KF Production receipts (spécifique S&OP car potentiellement différente de la baseline ?)";utilisation du calendrier IBP pour le nb de jours ouvrés;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PRODUCTIONCOSTRATE;Production Cost Rate;Production Cost Rate_S;Time-Series-Based Supply Planning Optimizer Input: Cost rate for production receipts. Should not include the cost for the component input material consumed by the production source.;production cost rate to be taken into account by IBP in order to run the R&S model;coût de fabrication pris en compte par IBP pour le fonctionnement du modèle R&S;WKPRODLOCSRC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;On Hold as not used today;;Non utilisé;PINCLOTSIZE;Production Incremental Lot Size;Production Incremental Lot Size_S;Inventory Optimization Input: Production incremental lot size.;Production Incremental Lot Size;taille de lot de production;WKPRODLOCSRC;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;On Hold as not used today;;Non utilisé;PLEADTIMEVARIABILITY;Production Lead Time Error CV;Production Lead Time Error CV_S;Inventory Optimization Input: Production lead time error coefficient of variation in weeks (can be a decimal number).;;;WKPRODLOCSRC;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PLEADTIME;Production Lead Time;Production Lead Time_S;Inventory Optimization Input: Production lead time in weeks (can be a decimal number).;Production Lead Time;délai de production;WKPRODLOCSRC;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PLOTSIZECOVERAGE;Production Lot Size Periods;Production Lot Size Periods_S;Inventory Optimization Input: Production lot size periods of coverage.;;;WKPRODLOCSRC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PMINLOTSIZE;Production Minimum Lot Size;Production Minimum Lot Size_S;Inventory Optimization Input: Production minimum lot size.;Production Minimum Lot Size;batch mini de production;WKPRODLOCSRC;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PRATIO;Production Ratio;Production Ratio_S;Production Ratio;ratio that allows the production or not;ratio qui permet d'autoriser la production ou non;WKPRODLOCSRC;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PRODUCTIONRATIO;Production Sourcing Ratio;Production Sourcing Ratio_S;Time-Series-Based Supply Planning Heuristic / Inventory Optimization Input: Ratio in which the net demand for a location product is sent to a production source.;ratio in order to split production source between several plants (not used today);ratio permettant de partager la source de production entre plusieurs usines (pas utilisé à date);WKPRODLOCSRC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PROJECTEDINVENTORY;Projected Stock;Projected Stock_S;Time-Series-Based Supply Planning Output: Stock at a location that is expected to exist at the end of a period if all receipts and supplies arrive as planned.;Projected Stock;stock projeté;WKPRODLOC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;2;Done;;;ZSOPGAPQTYPRODUCEDVSM1;Gap Qtés produites vs. Qtés produites M-1;Qty produced M vs M-1;Ecart entre les quantités produites M et M-1 Qté;It measures the gap between the Quantity Produced of the month with the previous month;Mesure l'écart entre les quantités produites sur le mois avec les quantités produites du mois précédent;MTHPRODLOC;calculated;;X;;;Not editable;(M-1) - (M-2);Sur base KF ZHISTOPRODUCTION, comparer mois M vs M-1en Qté. Ex: Juin voir gap Mai vs Avril;;1
KF à créer pour S&OP;Supply Review;partagée;2;Done;;;ZSOPGAPQTYPRODUCEDVSM1PCT;Gap Qtés produites vs. Qtés produites M-1;Qty produced M vs M-1 %;Ecart entre les quantités produites M et M-1 %;It measures the gap between the Quantity Produced of the month with the previous month in %;Mesure l'écart entre les quantités produites sur le mois avec les quantités produites du mois précédent en %;MTHPRODLOC;calculated;;X;;;Not editable;((M-1) - (M-2))/(M-2);Sur base KF ZHISTOPRODUCTION, comparer mois M vs M-1en %;;1
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPHISTOPRODOFFSETM1;Production History (M-1);Qty produced M-1;;hisorical data of what was produced in Month -1;données historiques des volumes de production du mois M-1;MTHPRODLOC;calculated;;;;;Not editable;;Offset of KF ZHISTOPRODUCTION by 1 month;;1
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPHISTOPRODOFFSETM2;Production History (M-2);Qty produced M-2;;hisorical data of what was produced in Month-2;données historiques des volumes de production du mois M-1;MTHPRODLOC;calculated;;;;;Not editable;;Offset of KF ZHISTOPRODUCTION by 2 months;;1
KF à créer pour S&OP;Supply Review;partagée;2;Done;;;ZSOPGAPQTYPRODUCEDVSY1;Gap Qtés produites vs. Qtés produites N-1;Qty produced N vs N-1;Ecart entre les quantités produites N et N-1 Qté;It measures the gap between the Quantity Produced of the month with the same month of the previous year (N-1 );Mesure l'écart entre les quantités produites sur le mois avec les quantités produites du même mois de l'année précédente.;MTHPRODLOC;calculated;;X;;;Not editable;N - N-1;Sur base KF ZHISTOPRODUCTION, comparer mois N vs N-1 en Qté (qté chargée manuellement);;1
KF à créer pour S&OP;Supply Review;partagée;2;Done;;;ZSOPGAPQTYPRODUCEDVSY1PCT;Gap Qtés produites vs. Qtés produites N-1;Qty produced N vs N-1 %;Ecart entre les quantités produites N et N-1 %;It measures the gap between the Quantity Produced of the month with the same month of the previous year (N-1 ) in %;Mesure l'écart entre les quantités produites sur le mois avec les quantités produites du même mois de l'année précédente en %;MTHPRODLOC;calculated;;X;;;Not editable;(N-N-1)/N-1;Sur base KF ZHISTOPRODUCTION, comparer mois N vs N-1 en %;;1
KF à créer pour S&OP;Supply Review;partagée;2;Done;;;ZSOPGAPQTYPRODUCEDVSY2;Gap Qtés produites vs. Qtés produites N-2;Qty produced N vs N-2;Ecart entre les quantités produites N et N-2 Qté;It measures the gap between the Quantity Produced of the month with the same month of the previous previous year (N-2);Mesure l'écart entre les quantités produites sur le mois avec les quantités produites du même mois de l'année il y a 2 ans;MTHPRODLOC;calculated;;X;;;Not editable;N - N-2;Sur base KF ZHISTOPRODUCTION, comparer mois N vs N-2 en Qté;;1
KF à créer pour S&OP;Supply Review;partagée;2;Done;;;ZSOPGAPQTYPRODUCEDVSY2PCT;Gap Qtés produites vs. Qtés produites N-2;Qty produced N vs N-2 %;Ecart entre les quantités produites N et N-2 %;It measures the gap between the Quantity Produced of the month with the same month of the previous previous year (N-2) in %;Mesure l'écart entre les quantités produites sur le mois avec les quantités produites du même mois de l'année il y a 2 ans en %;MTHPRODLOC;calculated;;X;;;Not editable;(N-N-2)/N-2;Sur base KF ZHISTOPRODUCTION, comparer mois N vs N-2 en %;;1
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPHISTOPRODOFFSETY1;Production History (Y-1);Qty produced N-1;;hisorical data of what was produced in Year -1;données historiques des volumes de production de l'année passée. ;MTHPRODLOC;calculated;;;;;Not editable;;Offset of KF ZHISTOPRODUCTION by 1 year;;1
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPHISTOPRODOFFSETY2;Production History (Y-2);Qty produced N-2;;hisorical data of what was produced in Year -2;données historiques des volumes de production de l'année N-2;MTHPRODLOC;calculated;;;;;Not editable;;Offset of KF ZHISTOPRODUCTION by 2 years;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;ZSOPINDUSBUDGETVSHISTOPRODM1;Gap Qtés produites vs. Budget industriel M-1;Qty Produced vs Prod_SST Bud. M-1;comparer indicateur Qté prod/budget indus M vs. Photo M-1 %;It represents the gap in quantity between the produced quantity in the current month versus the industrial budget in quantity in the previous month;Indicateur représentant l'écart en quantité entre la quantité produite et le budget industriel sur le mois précédent;MTHPRODLOC;calculated;;X;;;Not editable;;;;1
